2025-07-11 01:12:34,757 [INFO] Use pytorch device_name: mps
2025-07-11 01:12:34,757 [INFO] Load pretrained SentenceTransformer: all-mpnet-base-v2
2025-07-11 01:12:46,293 [INFO] [325/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-006/REQ-006-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-006/REQ-006-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:46,738 [INFO] [350/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-001/REQ-001-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-001/REQ-001-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:47,131 [INFO] [375/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-009/REQ-009-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-009/REQ-009-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'status': 'success', 'silhouette': 0.008171847090125084, 'fallback': ''}
2025-07-11 01:12:47,658 [INFO] [400/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-025/REQ-025-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-025/REQ-025-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.018862081691622734, 'fallback': ''}
2025-07-11 01:12:48,204 [INFO] [425/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'status': 'success', 'silhouette': 0.09928864985704422, 'fallback': ''}
2025-07-11 01:12:48,631 [INFO] [450/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-024/REQ-024-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-024/REQ-024-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'success', 'silhouette': 0.02123517543077469, 'fallback': ''}
2025-07-11 01:12:49,133 [INFO] [475/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-002/REQ-002-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-002/REQ-002-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': 0.024274524301290512, 'fallback': ''}
2025-07-11 01:12:49,571 [INFO] [500/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-005/REQ-005-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-005/REQ-005-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:50,006 [INFO] [525/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-003/REQ-003-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-003/REQ-003-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:12:50,465 [INFO] [550/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/yake/opus4/req-021/REQ-021-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/yake/opus4/req-021/REQ-021-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.040815044194459915, 'fallback': ''}
