2025-07-11 01:08:34,692 [INFO] Use pytorch device_name: mps
2025-07-11 01:08:34,692 [INFO] Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-07-11 01:08:39,417 [INFO] [325/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-006/REQ-006-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-006/REQ-006-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:39,628 [INFO] [350/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-001/REQ-001-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-001/REQ-001-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:39,830 [INFO] [375/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-009/REQ-009-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-009/REQ-009-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'status': 'success', 'silhouette': 0.017177848145365715, 'fallback': ''}
2025-07-11 01:08:40,056 [INFO] [400/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-025/REQ-025-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-025/REQ-025-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': -0.00900244526565075, 'fallback': ''}
2025-07-11 01:08:40,280 [INFO] [425/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'status': 'success', 'silhouette': 0.09969977289438248, 'fallback': ''}
2025-07-11 01:08:40,497 [INFO] [450/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-024/REQ-024-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-024/REQ-024-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'success', 'silhouette': -0.0005731016281060874, 'fallback': ''}
2025-07-11 01:08:40,737 [INFO] [475/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-002/REQ-002-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-002/REQ-002-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': 0.007011893205344677, 'fallback': ''}
2025-07-11 01:08:40,963 [INFO] [500/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-005/REQ-005-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-005/REQ-005-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:41,166 [INFO] [525/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-003/REQ-003-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-003/REQ-003-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:41,375 [INFO] [550/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-021/REQ-021-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-021/REQ-021-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.0753873661160469, 'fallback': ''}
2025-07-11 01:08:41,593 [INFO] [575/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-019/REQ-019-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-019/REQ-019-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': 0.02704654633998871, 'fallback': ''}
2025-07-11 01:08:42,101 [INFO] [600/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/opus4/req-020/REQ-020-HLJ-Chunk_2-Item_12-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/opus4/req-020/REQ-020-HLJ-Chunk_2-Item_12-v1.0_yake.json', 'status': 'success', 'silhouette': 0.004872561898082495, 'fallback': ''}
2025-07-11 01:08:42,322 [INFO] [625/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-008/REQ-008-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-008/REQ-008-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': 0.05591428279876709, 'fallback': ''}
2025-07-11 01:08:42,688 [INFO] [650/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-006/REQ-006-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-006/REQ-006-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': 0.030528252944350243, 'fallback': ''}
2025-07-11 01:08:42,902 [INFO] [675/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-007/REQ-007-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-007/REQ-007-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': 0.015567399561405182, 'fallback': ''}
2025-07-11 01:08:43,112 [INFO] [700/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-009/REQ-009-HLJ-Chunk_1-Item_7-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-009/REQ-009-HLJ-Chunk_1-Item_7-v1.0_yake.json', 'status': 'success', 'silhouette': -0.0031839695293456316, 'fallback': ''}
2025-07-11 01:08:43,324 [INFO] [725/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-013/REQ-013-HLJ-Chunk_2-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-013/REQ-013-HLJ-Chunk_2-Item_4-v1.0_yake.json', 'status': 'success', 'silhouette': 0.03970843926072121, 'fallback': ''}
2025-07-11 01:08:43,540 [INFO] [750/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-022/REQ-022-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:43,756 [INFO] [775/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-024/REQ-024-HLJ-Chunk_2-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-024/REQ-024-HLJ-Chunk_2-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': 0.03312351182103157, 'fallback': ''}
2025-07-11 01:08:43,964 [INFO] [800/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-015/REQ-015-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-015/REQ-015-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:44,172 [INFO] [825/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-005/REQ-005-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-005/REQ-005-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'status': 'success', 'silhouette': 0.01714957319200039, 'fallback': ''}
2025-07-11 01:08:44,378 [INFO] [850/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-004/REQ-004-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-004/REQ-004-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:44,588 [INFO] [875/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-010/REQ-010-HLJ-Chunk_2-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-010/REQ-010-HLJ-Chunk_2-Item_2-v1.0_yake.json', 'status': 'success', 'silhouette': 0.009320386685431004, 'fallback': ''}
2025-07-11 01:08:44,827 [INFO] [900/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-021/REQ-021-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-021/REQ-021-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': 0.029269950464367867, 'fallback': ''}
2025-07-11 01:08:45,030 [INFO] [925/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-026/REQ-026-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-026/REQ-026-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:08:45,248 [INFO] [950/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/gpt41/req-027/REQ-027-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/gpt41/req-027/REQ-027-HLJ-Chunk_1-Item_10-v1.0_yake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
